Month_Year,Product,Production,Detail,Actual,Standard
FEB_2024,Singha 5.0%,BEER BT 620ml,Malt,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,Hop,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,Additive,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,Syrup,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,Fuel,0.1537,0.1330
FEB_2024,Singha 5.0%,BEER BT 620ml,Power&Utilities,0.1281,0.1773
FEB_2024,Singha 5.0%,BEER BT 620ml,Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER BT 620ml,Chemicals-CIP,0.0220,0.0210
FEB_2024,Singha 5.0%,BEER BT 620ml,Chemicals-Filling,0.0796,0.0482
FEB_2024,Singha 5.0%,BEER BT 620ml,Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER BT 620ml,Cap,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,Sticker,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,Partition,0.3146,0.3351
FEB_2024,Singha 5.0%,BEER BT 620ml,Carton,1.0982,1.3203
FEB_2024,Singha 5.0%,BEER BT 620ml,Label,0.8650,0.8651
FEB_2024,Singha 5.0%,BEER BT 620ml,Bottle,7.2175,7.0370
FEB_2024,Singha 5.0%,BEER BT 620ml,Crown,0.3332,0.3452
FEB_2024,Singha 5.0%,BEER BT 620ml,Packaging-Other,0.1353,0.1236
FEB_2024,Singha 5.0%,BEER BT 620ml,Miscellaneous,0.0339,0.0389
FEB_2024,Singha 5.0%,BEER BT 620ml,TaxS15,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,TaxS30,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,Excise Singha B320,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml,Excise Singha 620,48.2148,48.2148
FEB_2024,Singha 5.0%,BEER BT 620ml,Repair&Maintenance,0.1365,0.4221
