Month_Year,Product,Production,Detail,Actual,Standard
FEB_2024,Singha 5.0%,BEER BT 620ml,Malt,3.9909,3.4870
FEB_2024,Singha 5.0%,BEER BT 620ml,Hop,0.7930,0.9132
FEB_2024,Singha 5.0%,BEER BT 620ml,Syrup,0.8474,0.8464
FEB_2024,Singha 5.0%,BEER BT 620ml,Fuel,0.1537,0.133
FEB_2024,Singha 5.0%,BEER BT 620ml,Power&Utilities,0.1281,0.1773
FEB_2024,Singha 5.0%,BEER BT 620ml,Partition,0.3146,0.3351
FEB_2024,Singha 5.0%,BEER BT 620ml,Carton,1.0982,1.3203
FEB_2024,Singha 5.0%,BEER BT 620ml,Label,0.865,0.8651
FEB_2024,Singha 5.0%,BEER BT 620ml,Bottle,7.2175,7.037
FEB_2024,Singha 5.0%,BEER BT 620ml,Crown,0.3332,0.3452
FEB_2024,Singha 5.0%,BEER BT 620ml,Packaging-Other,0.1353,0.1236
FEB_2024,Singha 5.0%,BEER BT 620ml,Excise Singha 620,48.2148,48.2148
FEB_2024,Singha 5.0%,BEER BT 620ml,Repair&Maintenance,0.1365,0.4221
FEB_2024,Singha 5.0%,BEER BT 320ml,Malt,3.9909,3.4870
FEB_2024,Singha 5.0%,BEER BT 320ml,Hop,0.7930,0.9132
FEB_2024,Singha 5.0%,BEER BT 320ml,Syrup,0.8474,0.8464
FEB_2024,Singha 5.0%,BEER BT 320ml,Fuel,0.1397,0.1334
FEB_2024,Singha 5.0%,BEER BT 320ml,Power&Utilities,0.0998,0.1656
FEB_2024,Singha 5.0%,BEER BT 320ml,Partition,0.6407,0.686
FEB_2024,Singha 5.0%,BEER BT 320ml,Carton,1.299,1.5382
FEB_2024,Singha 5.0%,BEER BT 320ml,Label,1.4195,1.4195
FEB_2024,Singha 5.0%,BEER BT 320ml,Bottle,10.3056,10.3477
FEB_2024,Singha 5.0%,BEER BT 320ml,Crown,0.6447,0.6688
FEB_2024,Singha 5.0%,BEER BT 320ml,Packaging-Other,0.1385,0.093
FEB_2024,Singha 5.0%,BEER BT 320ml,Excise Singha B320,52.5181,52.5181
FEB_2024,Singha 5.0%,BEER BT 320ml,Repair&Maintenance,0.4113,0.491
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Malt,3.9909,3.4870
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Hop,0.7930,0.9132
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Syrup,0.8474,0.8464
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Fuel,0.1541,0.1336
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Power&Utilities,0.1786,0.2462
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Partition,0.3095,0.33
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Carton,1.4966,1.7879
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Label,1,0.9898
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Bottle,8.7674,8.7243
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Crown,0.3272,0.3397
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Packaging-Other,0.1475,0.1176
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Repair&Maintenance,0.1966,0.3889
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Malt,3.9909,3.4870
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Hop,0.7930,0.9132
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Syrup,0.8474,0.8464
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Fuel,0.1541,0.1336
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Power&Utilities,0.1786,0.2462
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Partition,0.3145,0.3353
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Carton,1.4809,1.4828
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Label,1.0105,1.0057
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Bottle,8.911,8.865
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Crown,0.3325,0.3452
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Packaging-Other,0.1475,0.1176
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Repair&Maintenance,0.1966,0.3889
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Malt,3.9909,3.4870
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Hop,0.7930,0.9132
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Syrup,0.8474,0.8464
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Fuel,0.1541,0.1336
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Power&Utilities,0.1786,0.2462
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Partition,0.4571,0.4912
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Carton,1.3573,1.4826
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Label,1.587,1.5794
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Bottle,10.392,10.242
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Crown,0.6248,0.6485
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Packaging-Other,0.1968,0.1176
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Repair&Maintenance,0.1966,0.3889
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Malt,3.9909,3.4870
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Hop,0.7930,0.9132
